Table 3 
Stellar Host Masses and Ages


Name	DM97				BCAH98				SDF00				
FP Tau	-0.74	(-0.82, -0.64)	-0.09	(-0.88, -0.05)	-0.54	(-0.72, -0.40)	-0.10	(-0.69, 0.15)	-0.65	(-0.72, -0.53)	0.22	(-0.46, 0.29)	
CX Tau	-0.66	(-0.71, -0.46)	-0.09	(-0.65, 0.13)	-0.31	(-0.46, -0.20)	0.25	(-0.22, 0.54)	-0.44	(-0.56, -0.36)	0.23	(0.06, 0.46)	
FO Tau A	-0.70	(-0.79, -0.61)	-0.17	(-1.04, -0.15)	-0.42	(-0.60, -0.31)	-0.19	(-0.74, 0.12)	-0.59	(-0.65, -0.47)	0.13	(-0.58, 0.21)	
FO Tau B	-0.72	(-0.78, -0.57)	-0.06	(-0.82, 0.08)	-0.45	(-0.63, -0.33)	0.02	(-0.55, 0.34)	-0.59	(-0.67, -0.47)	0.25	(-0.35, 0.40)	
J04153916+2818586	-0.73	(-0.80, -0.61)	-0.08	(-0.83, 0.00)	-0.48	(-0.68, -0.37)	0.00	(-0.59, 0.24)	-0.63	(-0.70, -0.50)	0.23	(-0.38, 0.33)	
IRAS 04125+2902	-0.39	(-0.54, -0.29)	0.13	(-0.08, 0.53)	-0.16	(-0.30, -0.10)	0.65	(0.33, 0.91)	-0.35	(-0.42, -0.24)	0.45	(0.29, 0.78)	
J04155799+2746175	-0.89	(-0.96, -0.72)	0.31	(-0.19, 0.54)	-1.05	(-1.16, -0.78)	0.25	(-2.02, 0.36)	-0.98	(-1.06, -0.78)	0.56	(-0.17, 0.64)	
J04161210+2756385	-0.74	(-0.87, -0.62)	0.36	(0.11, 0.72)	-1.05	(-1.16, -0.78)	0.32	(-1.05, 0.69)	-0.74	(-0.98, -0.65)	0.60	(0.12, 0.78)	
J04163911+2858491	-0.80	(-0.98, -0.70)	0.45	(0.19, 0.77)	-1.09	(-1.21, -0.80)	0.35	(-1.76, 0.52)	-1.06	(-1.13, -0.79)	0.64	(-0.03, 0.78)	
CY Tau	-0.44	(-0.62, -0.35)	-0.06	(-0.41, 0.31)	-0.18	(-0.31, -0.10)	0.45	(0.09, 0.74)	-0.36	(-0.44, -0.26)	0.30	(0.15, 0.61)	
KPNO 10	-0.76	(-0.91, -0.65)	0.37	(0.12, 0.71)	-1.05	(-1.12, -0.66)	0.31	(-1.48, 0.61)	-0.97	(-1.03, -0.69)	0.61	(0.04, 0.77)	
V410 X-ray 1	-0.72	(-0.84, -0.65)	-0.84	(-1.17, -0.24)	-0.49	(-0.68, -0.37)	-0.39	(-0.93, -0.03)	-0.61	(-0.68, -0.54)	0.11	(-0.70, 0.14)	
V409 Tau	-0.40	(-0.54, -0.29)	0.27	(0.02, 0.68)	-0.20	(-0.34, -0.13)	0.70	(0.37, 0.98)	-0.37	(-0.45, -0.26)	0.54	(0.35, 0.87)	
V410 Anon 13	-0.89	(-0.96, -0.78)	0.20	(-0.44, 0.32)	-1.05	(-1.13, -0.82)	0.14	(-2.27, 0.16)	-0.94	(-1.03, -0.80)	0.48	(-0.33, 0.52)	
DD Tau A	-0.71	(-0.79, -0.57)	-0.06	(-0.96, 0.13)	-0.44	(-0.62, -0.32)	0.01	(-0.70, 0.36)	-0.57	(-0.66, -0.47)	0.24	(-0.54, 0.44)	
DD Tau B	-0.72	(-0.78, -0.54)	0.00	(-0.76, 0.29)	-0.46	(-0.64, -0.33)	0.08	(-0.50, 0.51)	-0.57	(-0.67, -0.47)	0.34	(-0.28, 0.57)	
CZ Tau A	-0.56	(-0.72, -0.43)	0.19	(-0.11, 0.60)	-0.41	(-0.57, -0.29)	0.49	(0.09, 0.83)	-0.50	(-0.61, -0.41)	0.48	(0.32, 0.78)	
CZ Tau B	-1.22	(-1.36, -0.53)	0.37	(-1.75, 0.92)	-1.09	(-1.30, -0.54)	0.33	(-2.31, 0.86)	-1.13	(-1.33, -0.57)	0.56	(-0.97, 1.01)	
V410 X-ray 2	-0.52	(-0.66, -0.42)	-1.54	(-1.97, -0.99)	0.05	(-0.11, 0.09)	-0.64	(-1.21, -0.20)	-0.30	(-0.39, -0.18)	-0.29	(-1.36, -0.26)	
V892 Tau AB	0.82	(0.75, 1.10)	1.03	(0.32, 1.74)	1.42	(1.09, 1.69)	1.37	(-2.06, 1.66)	0.87	(0.78, 0.97)	1.66	(0.31, 1.70)	
LR 1	-0.26	(-0.32, -0.03)	-0.48	(-0.95, -0.08)	0.22	(0.17, 0.29)	0.42	(-0.09, 0.61)	0.14	(0.01, 0.20)	0.13	(-0.12, 0.43)	
V410 X-ray 7 AB^a	-0.17	(-0.32, -0.05)	-0.10	(-0.55, 0.37)	0.06	(-0.08, 0.15)	0.49	(0.00, 0.80)	-0.07	(-0.18, 0.05)	0.31	(0.11, 0.73)	
V410 X-ray 6	-0.89	(-0.95, -0.77)	-0.98	(-1.39, -0.49)	-0.76	(-0.93, -0.60)	-0.66	(-1.68, -0.32)	-0.70	(-0.82, -0.65)	-0.65	(-0.88, 0.06)	
KPNO 12	-2.10	(-2.19, -1.69)	-0.25	(-2.18, 0.84)	-1.93	(-2.46, -1.67)	1.20	(-1.69, 1.23)	-2.09	(-2.36, -1.58)	0.81	(-0.26, 1.48)	
FQ Tau A	-0.55	(-0.65, -0.39)	0.72	(0.41, 1.16)	-0.44	(-0.61, -0.32)	0.86	(0.54, 1.30)	-0.54	(-0.66, -0.44)	0.83	(0.64, 1.19)	
FQ Tau B	-0.62	(-0.73, -0.47)	0.38	(0.12, 0.82)	-0.51	(-0.68, -0.37)	0.62	(0.19, 0.98)	-0.56	(-0.72, -0.48)	0.61	(0.44, 0.92)	
BP Tau	-0.31	(-0.49, -0.22)	-0.31	(-0.79, 0.10)	0.06	(-0.04, 0.12)	0.47	(0.02, 0.75)	-0.10	(-0.23, 0.00)	0.23	(0.00, 0.61)	
V819 Tau	-0.31	(-0.48, -0.21)	-0.28	(-0.63, 0.12)	0.06	(-0.04, 0.11)	0.52	(0.11, 0.76)	-0.11	(-0.23, 0.00)	0.26	(0.05, 0.62)	
FR Tau	-0.87	(-0.92, -0.71)	0.20	(-0.36, 0.37)	-1.05	(-1.08, -0.70)	0.16	(-1.92, 0.31)	-0.91	(-0.99, -0.73)	0.49	(-0.23, 0.56)	
J04201611+2821325	-0.99	(-1.35, -0.87)	0.85	(0.36, 1.25)	-1.39	(-1.47, -1.06)	0.65	(-1.06, 0.91)	-1.12	(-1.41, -0.97)	0.85	(0.16, 1.23)	
J04202144+2813491^b	-0.37	(-0.58, -0.27)	0.52	(-0.84, 1.02)	-0.14	(-0.27, -0.05)	0.59	(-0.30, 1.11)	-0.34	(-0.43, -0.24)	0.61	(-0.30, 1.17)	
J04202555+2700355	-0.78	(-0.93, -0.67)	0.58	(0.39, 0.94)	-1.15	(-1.21, -0.75)	0.45	(-1.28, 0.74)	-0.85	(-1.13, -0.75)	0.69	(0.19, 0.94)	
IRAS 04173+2812	-0.66	(-0.77, -0.52)	0.43	(0.19, 0.86)	-0.59	(-0.84, -0.45)	0.58	(0.10, 0.96)	-0.63	(-0.83, -0.55)	0.64	(0.44, 0.92)	
J04202606+2804089	-0.76	(-0.78, -0.49)	0.11	(-0.24, 0.43)	-0.49	(-0.67, -0.35)	0.30	(-0.06, 0.66)	-0.53	(-0.69, -0.46)	0.43	(0.26, 0.64)	
J04210795+2702204	-0.78	(-0.94, -0.68)	0.44	(0.15, 0.79)	-1.05	(-1.17, -0.73)	0.35	(-1.62, 0.59)	-0.99	(-1.08, -0.74)	0.63	(0.00, 0.80)	
J04210934+2750368	-0.87	(-0.92, -0.71)	0.21	(-0.36, 0.42)	-1.05	(-1.09, -0.70)	0.17	(-1.87, 0.33)	-0.91	(-1.00, -0.73)	0.49	(-0.23, 0.58)	
J04213459+2701388	-0.87	(-0.93, -0.76)	0.16	(-0.50, 0.26)	-1.04	(-1.08, -0.74)	0.10	(-2.11, 0.18)	-0.90	(-0.98, -0.76)	0.44	(-0.35, 0.49)	
IRAS 04187+1927	-0.49	(-0.61, -0.40)	-0.45	(-1.38, -0.43)	0.01	(-0.14, 0.07)	-0.05	(-0.67, 0.26)	-0.37	(-0.41, -0.12)	-0.12	(-0.76, 0.13)	
J04214631+2659296	-0.84	(-1.07, -0.74)	0.71	(0.46, 1.05)	-1.20	(-1.32, -0.90)	0.51	(-1.32, 0.73)	-0.96	(-1.24, -0.85)	0.74	(0.13, 1.01)	
DE Tau	-0.53	(-0.63, -0.47)	-0.97	(-1.21, -0.38)	-0.09	(-0.20, -0.01)	0.00	(-0.51, 0.24)	-0.41	(-0.45, -0.25)	-0.06	(-0.60, 0.10)	
RY Tau	0.34	(0.21, 0.43)	-0.43	(-0.70, -0.16)	0.40	(0.36, 0.49)	-0.28	(-0.88, 0.21)	0.44	(0.37, 0.50)	0.00	(-0.21, 0.26)	
T Tau N	0.40	(0.31, 0.48)	-0.26	(-0.49, -0.01)	0.45	(0.41, 0.55)	0.20	(-0.65, 0.34)	0.44	(0.38, 0.50)	0.20	(-0.04, 0.41)	
FS Tau A	-0.50	(-0.59, -0.36)	-0.37	(-1.22, -0.23)	0.00	(-0.16, 0.05)	0.14	(-0.51, 0.44)	-0.23	(-0.40, -0.11)	-0.03	(-0.49, 0.33)	
FS Tau B	-0.62	(-0.75, -0.47)	0.32	(-0.01, 0.78)	-0.50	(-0.68, -0.36)	0.52	(0.09, 0.94)	-0.56	(-0.71, -0.48)	0.59	(0.37, 0.90)	
J04221675+2654570	-0.42	(-0.58, -0.31)	0.11	(-0.15, 0.56)	-0.19	(-0.33, -0.11)	0.59	(0.24, 0.89)	-0.37	(-0.44, -0.26)	0.43	(0.25, 0.78)	
IRAS 04196+2638	-0.39	(-0.55, -0.29)	0.04	(-0.23, 0.47)	-0.13	(-0.26, -0.07)	0.57	(0.24, 0.86)	-0.32	(-0.40, -0.22)	0.40	(0.21, 0.74)	
J04230607+2801194	-0.85	(-1.08, -0.77)	0.47	(0.06, 0.74)	-1.16	(-1.28, -0.96)	0.37	(-1.99, 0.39)	-1.12	(-1.20, -0.90)	0.64	(-0.12, 0.73)	
IRAS 04200+2759	-0.41	(-0.54, -0.32)	1.27	(0.74, 1.63)	-0.33	(-0.51, -0.26)	1.45	(0.93, 1.71)	-0.47	(-0.58, -0.37)	1.30	(0.93, 1.68)	
J04231822+2641156	-0.75	(-0.78, -0.52)	0.03	(-0.49, 0.27)	-0.47	(-0.66, -0.35)	0.23	(-0.23, 0.53)	-0.53	(-0.69, -0.46)	0.36	(0.11, 0.54)	
FU Tau A	-1.03	(-1.09, -0.86)	-1.06	(-2.03, -0.52)	-0.99	(-1.02, -0.72)	-0.77	(-2.32, -0.34)	-0.93	(-1.04, -0.74)	-0.84	(-1.38, -0.08)	
FU Tau B	-1.76	(-1.81, -1.45)	-0.51	(-2.03, -0.52)	-1.70	(-2.24, -1.53)	-1.00	(-2.72, -0.31)	-1.86	(-2.08, -1.53)	0.62	(-0.72, 0.68)	
FT Tau	-0.58	(-0.74, -0.22)	-0.15	(-1.10, 0.41)	-0.05	(-0.55, -0.02)	0.35	(-0.92, 0.70)	-0.14	(-0.58, -0.08)	0.21	(-0.59, 0.78)	
J04242090+2630511	-0.97	(-1.32, -0.86)	0.79	(0.29, 1.18)	-1.37	(-1.46, -1.07)	0.61	(-1.30, 0.81)	-1.35	(-1.40, -0.97)	0.81	(0.08, 1.15)	
J04242646+2649503	-0.84	(-1.06, -0.74)	0.69	(0.45, 1.03)	-1.20	(-1.31, -0.90)	0.50	(-1.35, 0.72)	-1.19	(-1.23, -0.84)	0.74	(0.11, 1.00)	
IRAS 04216+2603	-0.28	(-0.51, -0.22)	0.81	(-0.22, 1.26)	-0.15	(-0.28, -0.05)	0.90	(0.16, 1.36)	-0.29	(-0.41, -0.19)	0.94	(0.26, 1.42)	
IP Tau	-0.34	(-0.53, -0.21)	0.00	(-0.31, 0.51)	-0.05	(-0.21, 0.00)	0.62	(0.19, 0.93)	-0.22	(-0.34, -0.10)	0.44	(0.20, 0.85)	
KPNO 3	-0.88	(-1.16, -0.78)	0.79	(0.50, 1.12)	-1.27	(-1.38, -0.97)	0.56	(-1.22, 0.79)	-1.02	(-1.30, -0.90)	0.79	(0.15, 1.08)	
J04263055+2443558	-1.85	(-1.91, -1.48)	-0.25	(-2.23, 0.67)	-1.68	(-2.27, -1.54)	-2.36	(-2.45, 0.53)	-1.76	(-2.07, -1.44)	0.69	(-0.43, 1.04)	
FV Tau A	-0.34	(-0.40, -0.08)	-0.51	(-1.16, -0.14)	0.18	(0.11, 0.26)	0.31	(-0.24, 0.57)	0.09	(-0.09, 0.16)	0.04	(-0.22, 0.40)	
FV Tau B	-0.29	(-0.41, -0.21)	-0.38	(-0.86, -0.01)	0.12	(0.08, 0.18)	0.46	(0.09, 0.71)	-0.03	(-0.12, 0.05)	0.20	(-0.04, 0.55)	
FV Tau/c A	-0.63	(-0.72, -0.53)	-0.22	(-1.00, -0.15)	-0.28	(-0.43, -0.18)	0.00	(-0.56, 0.28)	-0.52	(-0.57, -0.38)	0.09	(-0.50, 0.22)	
FV Tau/c B	-0.60	(-0.70, -0.46)	0.82	(0.43, 1.30)	-0.53	(-0.72, -0.40)	0.85	(0.49, 1.35)	-0.61	(-0.76, -0.51)	0.86	(0.65, 1.29)	
KPNO 13	-0.81	(-0.90, -0.73)	-0.69	(-0.99, -0.08)	-0.73	(-0.91, -0.56)	-0.26	(-1.23, -0.02)	-0.73	(-0.83, -0.64)	0.25	(-0.62, 0.26)	
DF Tau AB^a	-0.33	(-0.40, -0.26)	-1.21	(-1.69, -0.63)	0.09	(-0.01, 0.15)	-0.49	(-1.08, -0.06)	-0.16	(-0.21, -0.10)	-0.13	(-1.14, -0.12)	
DG Tau	-0.36	(-0.43, -0.22)	-0.53	(-1.89, -0.14)	0.15	(0.08, 0.19)	0.35	(-0.79, 0.64)	-0.04	(-0.12, 0.07)	-0.09	(-0.85, 0.51)	
J04284263+2714039 A	-0.78	(-0.94, -0.67)	0.50	(0.22, 0.89)	-1.07	(-1.18, -0.74)	0.39	(-1.50, 0.66)	-0.98	(-1.09, -0.74)	0.66	(0.05, 0.87)	
J04284263+2714039 B	-1.52	(-1.56, -0.74)	0.57	(-1.69, 1.10)	-1.34	(-1.59, -0.84)	-0.18	(-2.45, 0.89)	-1.33	(-1.55, -0.76)	0.61	(-0.53, 1.21)	
J04290068+2755033	-1.76	(-1.79, -1.24)	0.77	(-1.99, 0.88)	-1.54	(-2.02, -1.40)	-2.28	(-2.42, 0.60)	-1.60	(-1.85, -1.21)	0.69	(-0.34, 1.10)	
IRAS 04260+2642^b	-0.18	(-0.38, -0.10)	-0.22	(-1.21, 0.65)	0.14	(0.01, 0.20)	0.60	(-0.22, 1.12)	-0.02	(-0.13, 0.08)	0.41	(-0.18, 1.03)	
IRAS 04263+2654	-0.93	(-0.97, -0.81)	-1.57	(-2.41, -1.26)	-0.68	(-0.83, -0.49)	-1.30	(-1.98, -0.85)	-0.65	(-0.78, -0.58)	-1.10	(-1.51, -0.52)	
XEST 13-010	-0.66	(-0.76, -0.57)	-0.19	(-1.04, -0.15)	-0.34	(-0.51, -0.24)	-0.10	(-0.68, 0.20)	-0.55	(-0.60, -0.43)	0.10	(-0.58, 0.21)	
DH Tau A	-0.56	(-0.59, -0.35)	-0.18	(-0.69, 0.15)	-0.12	(-0.24, -0.05)	0.40	(-0.02, 0.66)	-0.32	(-0.40, -0.22)	0.20	(0.04, 0.53)	
DH Tau B	-2.04	(-2.06, -1.30)	1.41	(-1.88, 1.64)	-1.26	(-1.84, -1.21)	1.20	(0.10, 1.78)	-1.35	(-1.94, -1.27)	1.47	(0.22, 1.78)	
IQ Tau	-0.53	(-0.60, -0.37)	-0.30	(-1.01, -0.11)	-0.05	(-0.19, 0.01)	0.25	(-0.30, 0.52)	-0.27	(-0.41, -0.16)	0.06	(-0.16, 0.40)	
J04295950+2433078	-0.81	(-0.89, -0.73)	-0.63	(-0.91, -0.04)	-0.74	(-0.92, -0.57)	-0.18	(-1.21, 0.02)	-0.74	(-0.84, -0.65)	0.28	(-0.57, 0.29)	
UX Tau A	0.10	(-0.04, 0.16)	0.22	(-0.15, 0.54)	0.31	(0.15, 0.37)	0.71	(0.43, 1.05)	0.20	(0.13, 0.26)	0.66	(0.35, 0.95)	
KPNO 6	-1.90	(-1.96, -1.50)	-0.04	(-2.15, 0.85)	-1.69	(-2.18, -1.51)	1.03	(-2.05, 0.97)	-1.81	(-2.01, -1.37)	0.76	(-0.26, 1.28)	
FX Tau A	-0.54	(-0.59, -0.32)	-0.15	(-0.79, 0.39)	-0.12	(-0.24, -0.05)	0.41	(-0.13, 0.76)	-0.32	(-0.41, -0.22)	0.24	(-0.03, 0.68)	
FX Tau B	-0.75	(-0.83, -0.64)	-0.10	(-1.01, -0.04)	-0.51	(-0.71, -0.39)	-0.14	(-0.82, 0.14)	-0.62	(-0.72, -0.53)	0.20	(-0.58, 0.30)	
DK Tau A	-0.46	(-0.54, -0.30)	-0.41	(-1.27, -0.18)	0.06	(-0.07, 0.12)	0.25	(-0.43, 0.55)	-0.15	(-0.31, -0.03)	0.00	(-0.36, 0.42)	
DK Tau B	-0.38	(-0.53, -0.26)	0.33	(-0.21, 0.83)	-0.15	(-0.27, -0.07)	0.66	(0.22, 1.04)	-0.33	(-0.41, -0.22)	0.54	(0.23, 0.99)	
ZZ Tau AB^a	-0.42	(-0.48, -0.23)	-0.07	(-0.74, 0.12)	-0.21	(-0.33, -0.06)	0.16	(-0.39, 0.46)	-0.31	(-0.39, -0.18)	0.24	(-0.16, 0.44)	
ZZ Tau IRS	-0.85	(-0.90, -0.66)	0.27	(-0.19, 0.56)	-1.05	(-1.09, -0.65)	0.22	(-1.56, 0.49)	-0.91	(-1.00, -0.69)	0.55	(-0.11, 0.67)	
KPNO 7	-1.82	(-1.87, -1.30)	0.85	(-2.00, 0.99)	-1.61	(-2.07, -1.40)	0.89	(-2.23, 0.86)	-1.70	(-1.90, -1.23)	0.74	(-0.27, 1.28)	
JH 56	-0.36	(-0.53, -0.25)	0.01	(-0.21, 0.44)	-0.06	(-0.23, -0.03)	0.61	(0.27, 0.89)	-0.27	(-0.37, -0.15)	0.41	(0.23, 0.78)	
XZ Tau A	-0.59	(-0.66, -0.37)	-0.02	(-0.71, 0.55)	-0.24	(-0.38, -0.14)	0.41	(-0.26, 0.79)	-0.42	(-0.51, -0.32)	0.33	(-0.12, 0.76)	
XZ Tau B	-0.72	(-0.82, -0.61)	-0.91	(-1.54, -0.19)	-0.40	(-0.58, -0.28)	-0.44	(-1.19, 0.03)	-0.55	(-0.63, -0.48)	0.05	(-1.08, 0.13)	
HK Tau A	-0.37	(-0.55, -0.26)	-0.03	(-0.32, 0.47)	-0.06	(-0.23, -0.03)	0.56	(0.19, 0.88)	-0.27	(-0.37, -0.15)	0.40	(0.18, 0.79)	
HK Tau B^b	-0.46	(-0.64, -0.34)	0.36	(-0.68, 1.02)	-0.25	(-0.41, -0.15)	0.57	(-0.36, 1.13)	-0.43	(-0.52, -0.33)	0.61	(-0.32, 1.17)	
V710 Tau A	-0.54	(-0.58, -0.30)	-0.18	(-0.67, 0.22)	-0.05	(-0.22, -0.01)	0.42	(-0.01, 0.73)	-0.27	(-0.38, -0.15)	0.24	(0.05, 0.63)	
LkHalpha 267^b	-0.56	(-0.71, -0.42)	0.22	(0.00, 0.62)	-0.42	(-0.57, -0.29)	0.50	(0.16, 0.85)	-0.50	(-0.61, -0.42)	0.51	(0.36, 0.78)	
Haro 6-13	-0.53	(-0.57, -0.28)	-0.25	(-0.79, 0.14)	-0.01	(-0.19, 0.03)	0.40	(-0.11, 0.70)	-0.22	(-0.35, -0.10)	0.20	(0.00, 0.61)	
MHO 5	-0.88	(-0.96, -0.82)	-0.49	(-0.73, 0.08)	-1.03	(-1.07, -0.80)	-0.13	(-2.36, -0.06)	-0.88	(-0.98, -0.78)	0.34	(-0.54, 0.34)	
MHO 6	-0.73	(-0.86, -0.62)	0.43	(0.18, 0.82)	-1.05	(-1.08, -0.60)	0.37	(-0.95, 0.76)	-0.75	(-0.99, -0.65)	0.63	(0.19, 0.85)	
J04322415+2251083	-0.72	(-0.84, -0.59)	0.34	(0.13, 0.69)	-0.66	(-1.02, -0.54)	0.32	(-0.57, 0.74)	-0.68	(-0.94, -0.61)	0.59	(0.24, 0.78)	
GG Tau Aab^a	-0.08	(-0.19, 0.01)	-0.24	(-0.62, 0.22)	0.29	(0.21, 0.34)	0.58	(0.12, 0.82)	0.13	(0.04, 0.20)	0.32	(0.06, 0.68)	
GG Tau Ba	-0.87	(-0.94, -0.76)	0.17	(-0.50, 0.30)	-1.04	(-1.09, -0.74)	0.11	(-2.09, 0.20)	-0.90	(-0.99, -0.76)	0.44	(-0.34, 0.51)	
GG Tau Bb	-1.65	(-1.66, -0.99)	0.65	(-1.32, 0.97)	-1.43	(-1.72, -1.23)	0.61	(-2.35, 0.59)	-1.45	(-1.60, -1.05)	0.70	(-0.24, 1.06)	
FY Tau	-0.21	(-0.39, -0.06)	-0.37	(-0.80, 0.12)	0.16	(0.09, 0.23)	0.46	(0.06, 0.73)	0.07	(-0.09, 0.13)	0.25	(-0.05, 0.58)	
FZ Tau	-0.50	(-0.60, -0.38)	-0.41	(-1.33, -0.33)	0.01	(-0.15, 0.06)	0.03	(-0.61, 0.36)	-0.35	(-0.41, -0.12)	-0.08	(-0.68, 0.23)	
UZ Tau Wa	-0.46	(-0.65, -0.37)	0.00	(-0.35, 0.40)	-0.25	(-0.39, -0.15)	0.45	(0.06, 0.76)	-0.41	(-0.49, -0.31)	0.34	(0.18, 0.65)	
UZ Tau Wb	-0.56	(-0.73, -0.43)	0.13	(-0.15, 0.50)	-0.41	(-0.57, -0.29)	0.40	(0.06, 0.76)	-0.50	(-0.60, -0.41)	0.44	(0.30, 0.70)	
UZ Tau Eab^a	-0.32	(-0.37, -0.19)	-0.24	(-1.02, 0.20)	0.03	(-0.07, 0.10)	0.31	(-0.33, 0.64)	-0.15	(-0.22, -0.07)	0.12	(-0.31, 0.55)	
JH 112 Aa	-0.26	(-0.38, -0.18)	-0.26	(-0.55, 0.14)	0.11	(0.06, 0.16)	0.60	(0.25, 0.80)	-0.02	(-0.12, 0.04)	0.35	(0.07, 0.64)	
JH 112 Ab	-1.87	(-1.93, -1.26)	0.96	(-2.05, 1.19)	-1.68	(-2.31, -1.41)	-2.51	(-2.38, 1.00)	-1.79	(-2.12, -1.24)	0.70	(-0.43, 1.38)	
J04324938+2253082	-0.75	(-0.86, -0.66)	-0.89	(-1.26, -0.28)	-0.54	(-0.73, -0.40)	-0.47	(-1.06, -0.09)	-0.62	(-0.71, -0.55)	0.10	(-0.77, 0.12)	
GH Tau A	-0.47	(-0.66, -0.39)	-0.03	(-0.41, 0.30)	-0.25	(-0.39, -0.15)	0.43	(0.03, 0.70)	-0.40	(-0.49, -0.31)	0.30	(0.16, 0.59)	
GH Tau B	-0.61	(-0.67, -0.40)	-0.08	(-0.61, 0.23)	-0.24	(-0.38, -0.14)	0.35	(-0.11, 0.64)	-0.40	(-0.50, -0.31)	0.25	(0.08, 0.54)	
V807 Tau A	-0.43	(-0.51, -0.28)	-0.44	(-1.26, -0.24)	0.08	(-0.02, 0.15)	0.25	(-0.37, 0.53)	-0.10	(-0.26, 0.01)	-0.03	(-0.29, 0.38)	
J04330945+2246487	-0.85	(-1.07, -0.77)	0.45	(0.02, 0.70)	-1.16	(-1.27, -0.95)	0.35	(-2.03, 0.36)	-1.11	(-1.19, -0.90)	0.63	(-0.13, 0.71)	
IRAS 04301+2608^b	-0.27	(-0.55, -0.21)	0.60	(-1.01, 1.03)	-0.05	(-0.23, 0.02)	0.61	(-0.34, 1.16)	-0.25	(-0.38, -0.13)	0.68	(-0.29, 1.22)	
IRAS 04303+2240	-0.48	(-0.61, -0.41)	-1.09	(-1.40, -0.47)	0.01	(-0.14, 0.07)	-0.10	(-0.70, 0.22)	-0.37	(-0.41, -0.12)	-0.13	(-0.79, 0.08)	
J04333278+1800436	-0.30	(-0.46, -0.22)	0.65	(0.31, 0.98)	-0.16	(-0.30, -0.12)	0.97	(0.64, 1.23)	-0.33	(-0.41, -0.22)	0.80	(0.57, 1.13)	
GI Tau	-0.44	(-0.50, -0.23)	-0.36	(-1.00, 0.04)	0.07	(-0.04, 0.13)	0.45	(-0.14, 0.71)	-0.10	(-0.24, 0.00)	0.17	(-0.10, 0.58)	
GK Tau	-0.43	(-0.51, -0.25)	-0.42	(-1.29, -0.08)	0.08	(-0.03, 0.14)	0.33	(-0.38, 0.63)	-0.11	(-0.26, 0.00)	0.04	(-0.31, 0.51)	
IS Tau A	-0.35	(-0.56, -0.25)	-0.15	(-0.53, 0.29)	-0.04	(-0.20, 0.02)	0.50	(0.06, 0.80)	-0.22	(-0.34, -0.10)	0.30	(0.11, 0.71)	
IS Tau B	-0.62	(-0.72, -0.46)	0.43	(0.22, 0.83)	-0.51	(-0.68, -0.37)	0.64	(0.27, 1.00)	-0.57	(-0.71, -0.48)	0.64	(0.49, 0.92)	
DL Tau	-0.28	(-0.46, -0.17)	-0.15	(-0.57, 0.40)	0.04	(-0.06, 0.10)	0.60	(0.15, 0.92)	-0.09	(-0.23, -0.01)	0.41	(0.09, 0.80)	
J04333905+2227207	-0.35	(-0.51, -0.30)	1.33	(0.94, 1.64)	-0.29	(-0.47, -0.26)	1.46	(1.10, 1.73)	-0.44	(-0.55, -0.35)	1.34	(1.05, 1.67)	
